Date,Open,High,Low,Close,Adj Close,Volume
2024-09-17,1947.75,1958.45,1942.15,1953.0,1953.0,2086460
2024-09-01,1943.35,1975.75,1889.0,1950.25,1950.25,55939845
2024-08-01,1856.1,1951.0,1718.55,1943.7,1943.7,124670491
2024-07-01,1559.5,1903.0,1559.5,1868.25,1868.25,192519323
2024-06-01,1440.0,1588.5,1358.35,1566.75,1566.75,177134468
2024-05-01,1420.55,1479.6,1400.0,1406.9,1399.02,175215341
2024-04-01,1525.0,1529.95,1378.75,1420.55,1412.59,185453567
2024-03-01,1669.0,1671.95,1481.55,1498.05,1489.65,135900753
2024-02-01,1659.55,1733.0,1635.5,1673.9,1664.52,101673806
2024-01-01,1539.0,1690.0,1486.6,1660.9,1651.59,165823157
2023-12-01,1459.9,1593.0,1433.15,1542.9,1534.25,130077843
2023-11-01,1373.05,1467.9,1351.65,1455.15,1446.99,85186084
2023-10-01,1435.45,1518.25,1353.1,1368.4,1343.34,115659556
2023-09-01,1430.95,1518.4,1416.0,1435.45,1409.17,101541064
2023-08-01,1362.0,1444.9,1348.45,1435.45,1409.17,107163346
2023-07-01,1330.0,1498.8,1305.0,1355.7,1330.88,212488786
2023-06-01,1322.55,1338.9,1262.25,1335.5,1293.66,125302884
2023-05-01,1252.75,1332.7,1239.05,1318.3,1277.0,153758884
2023-04-01,1435.0,1435.0,1185.3,1252.75,1213.5,181895956
2023-03-01,1492.4,1520.4,1364.55,1427.95,1383.21,142669535
2023-02-01,1542.2,1619.75,1481.3,1487.55,1440.94,99346960
2023-01-01,1514.0,1568.8,1446.5,1533.75,1485.7,142093979
2022-12-01,1656.2,1672.6,1482.45,1508.2,1460.95,127679808
2022-11-01,1553.05,1653.5,1485.0,1634.95,1583.73,91935458
2022-10-01,1412.0,1546.4,1386.0,1537.65,1473.37,105106395
2022-09-01,1460.05,1553.0,1355.0,1413.45,1354.36,171480153
2022-08-01,1564.0,1631.35,1450.0,1492.95,1430.54,92398681
2022-07-01,1454.0,1555.7,1410.65,1549.7,1484.92,115124683
2022-06-01,1513.0,1555.0,1367.15,1461.9,1400.79,139144802
2022-05-01,1550.9,1589.4,1399.25,1503.6,1425.65,176039201
2022-04-01,1886.85,1910.3,1550.0,1567.55,1486.28,170696670
2022-03-01,1715.6,1923.3,1681.0,1906.85,1807.99,154420688
2022-02-01,1766.1,1792.8,1665.0,1715.6,1626.66,128928283
2022-01-01,1887.75,1953.9,1665.0,1736.2,1646.19,141619689
2021-12-01,1715.0,1909.8,1691.5,1887.75,1789.88,109472023
2021-11-01,1677.5,1808.95,1669.15,1712.65,1623.86,104526424
2021-10-01,1665.1,1848.0,1661.05,1667.75,1567.4,144440594
2021-09-01,1709.5,1788.0,1655.0,1675.2,1574.4,113957923
2021-08-01,1627.45,1757.0,1619.2,1706.45,1603.77,132748512
2021-07-01,1576.85,1623.4,1533.75,1610.5,1513.59,109513508
2021-06-01,1400.0,1591.0,1365.0,1580.8,1485.68,147298100
2021-05-01,1340.8,1416.25,1311.3,1393.75,1295.9,110635877
2021-04-01,1380.0,1477.55,1320.0,1354.35,1259.27,174375276
2021-03-01,1263.3,1406.0,1259.0,1368.05,1272.0,170796692
2021-02-01,1250.55,1332.0,1241.0,1253.3,1165.31,135880762
2021-01-01,1257.9,1392.8,1231.0,1239.05,1152.06,206714641
2020-12-01,1105.05,1258.85,1105.05,1255.8,1167.63,205793830
2020-11-01,1065.0,1154.9,1051.1,1100.0,1022.77,208543153
2020-10-01,1020.6,1186.0,1011.75,1060.6,975.66,284991815
2020-09-01,926.25,1037.0,912.1,1008.25,927.5,232397098
2020-08-01,960.0,974.4,914.6,928.6,854.23,155088967
2020-07-01,737.25,986.45,729.75,966.0,888.63,397100277
2020-06-01,698.75,751.6,675.5,735.95,677.01,240810488
2020-05-01,715.5,715.5,646.7,691.0,627.12,180604556
2020-04-01,634.35,720.0,582.15,715.5,649.36,203538623
2020-03-01,737.0,773.55,509.25,641.5,582.2,305156542
2020-02-01,775.1,811.6,722.05,731.7,664.06,112890806
2020-01-01,735.0,792.8,708.3,775.95,704.22,189277362
2019-12-01,703.1,737.95,688.55,731.15,663.56,141177094
2019-11-01,690.0,732.5,678.15,696.35,631.98,222300056
2019-10-01,807.0,823.8,615.1,685.6,608.08,383038274
2019-09-01,814.9,847.0,741.9,805.65,714.56,162140933
2019-08-01,786.45,817.35,760.15,814.9,722.77,150021483
2019-07-01,735.0,804.0,706.5,793.65,703.92,177830373
2019-06-01,729.8,759.0,728.15,732.0,640.19,124691033
2019-05-01,751.35,751.35,697.45,737.75,645.22,195603027
2019-04-01,742.0,773.0,712.6,751.35,657.12,171634154
2019-03-01,735.5,747.95,705.35,743.85,650.56,162357177
2019-02-01,751.35,772.25,721.3,734.3,642.21,119007692
2019-01-01,660.95,751.3,651.0,749.55,651.96,212509846
2018-12-01,673.15,713.7,637.35,658.95,573.16,154714992
2018-11-01,689.7,689.7,599.85,667.45,580.55,169740064
2018-10-01,737.5,754.9,629.9,686.4,590.6,186538368
2018-09-01,724.5,748.5,692.0,730.05,628.16,151520717
2018-08-01,681.9,727.15,673.75,720.55,619.98,153220648
2018-07-01,657.0,696.9,634.05,682.55,587.29,222750566
2018-06-01,615.2,657.5,606.0,653.6,557.97,148892806
2018-05-01,599.75,624.33,577.5,615.9,525.78,152659266
2018-04-01,570.5,607.2,551.0,599.75,512.0,238890178
2018-03-01,584.8,598.5,563.13,565.9,483.1,150685258
2018-02-01,571.1,594.75,545.1,586.3,500.51,181417514
2018-01-01,518.85,610.53,503.0,575.13,490.97,264683322
2017-12-01,489.7,524.4,478.52,521.03,444.79,161246954
2017-11-01,462.5,509.65,458.48,488.05,416.64,170098888
2017-10-01,449.95,478.85,448.58,460.92,388.07,183699102
2017-09-01,457.98,462.95,436.83,449.95,378.83,212424430
2017-08-01,505.5,514.63,430.0,457.48,385.16,582373864
2017-07-01,470.55,510.85,466.52,505.6,425.68,168735660
2017-06-01,484.65,494.45,460.5,467.77,387.89,157335112
2017-05-01,459.48,500.0,457.55,488.52,405.09,122586584
2017-04-01,516.08,516.22,455.1,459.48,381.0,141615584
2017-03-01,506.0,522.0,499.5,511.13,423.83,135683968
2017-02-01,460.55,515.5,452.58,506.2,419.75,165933242
2017-01-01,505.55,520.0,450.58,464.3,385.01,229338128
2016-12-01,488.0,511.0,479.0,505.3,419.0,124829654
2016-11-01,503.4,503.4,450.5,487.77,404.47,166172762
2016-10-01,517.75,541.35,496.58,498.75,409.18,119388948
2016-09-01,519.0,534.45,512.0,518.03,425.0,118830420
2016-08-01,535.75,547.5,504.55,517.92,424.91,156232044
2016-07-01,590.0,598.03,526.0,536.92,440.5,206636530
2016-06-01,623.03,639.65,577.55,585.4,474.74,134138100
2016-05-01,605.0,636.0,585.33,624.33,506.31,110289612
2016-04-01,608.0,633.95,575.55,604.05,489.87,130358762
2016-03-01,547.4,618.5,547.4,609.15,494.01,157601064
2016-02-01,585.0,597.47,533.5,542.03,439.57,107695046
2016-01-01,550.0,585.0,515.42,582.45,472.35,156537572
2015-12-01,544.0,555.0,511.27,552.7,448.23,116644966
2015-11-01,565.0,578.8,505.63,543.95,441.13,111847740
2015-10-01,584.95,609.9,542.6,567.72,456.22,178869960
2015-09-01,545.0,584.47,526.15,580.97,466.86,165212106
2015-08-01,539.0,593.1,522.25,547.2,439.72,175816384
2015-07-01,494.5,574.5,466.33,538.53,432.75,177091334
2015-06-01,508.2,516.0,484.0,492.17,389.6,139774544
2015-05-01,485.56,515.47,477.0,505.79,400.37,164070368
2015-04-01,549.72,561.25,483.08,485.56,384.36,218636380
2015-03-01,575.75,578.47,533.0,554.59,439.0,141997388
2015-02-01,535.38,584.0,525.5,566.44,448.38,134577268
2015-01-01,492.24,556.25,478.26,535.47,423.87,232487756
2014-12-01,548.38,550.28,474.08,493.14,390.36,411091656
2014-11-01,509.61,549.75,504.06,544.98,431.4,153560632
2014-10-01,465.25,508.25,446.59,506.41,397.79,234350104
2014-09-01,451.26,474.38,444.44,468.47,367.99,171309176
2014-08-01,418.75,456.25,416.25,449.85,353.37,138003312
2014-07-01,405.63,429.0,398.23,420.96,330.67,170486704
2014-06-01,370.06,417.42,368.75,406.94,319.66,214963000
2014-05-01,397.6,417.5,360.0,367.42,284.71,223829024
2014-04-01,410.38,423.5,392.8,397.6,308.09,172320976
2014-03-01,478.13,481.24,401.99,410.35,317.97,209915528
2014-02-01,460.63,479.64,442.63,478.11,370.47,121785872
2014-01-01,436.5,474.88,427.23,462.64,358.49,257814512
2013-12-01,419.0,446.88,414.77,435.71,337.62,166006952
2013-11-01,412.5,431.0,404.13,419.32,324.92,117831176
2013-10-01,378.75,422.21,375.38,413.74,318.68,234672984
2013-09-01,384.64,398.5,372.51,376.63,290.1,189433792
2013-08-01,373.5,391.25,365.26,388.23,299.04,191488320
2013-07-01,308.63,373.95,299.08,371.21,285.92,223298936
2013-06-01,315.63,328.13,292.84,312.36,240.59,156927712
2013-05-01,279.43,304.36,279.43,301.46,229.54,146683392
2013-04-01,363.84,374.94,273.25,279.43,212.76,348731168
2013-03-01,364.25,376.23,353.44,361.17,275.0,160210560
2013-02-01,348.89,371.17,342.72,363.38,276.68,145773304
2013-01-01,290.95,354.62,287.94,348.69,265.5,335245504
2012-12-01,304.63,306.63,280.63,289.84,220.69,167080416
2012-11-01,295.25,310.0,284.85,304.61,231.93,121476560
2012-10-01,318.91,327.52,257.57,295.38,223.48,220086808
2012-09-01,295.75,331.25,291.52,316.87,239.74,148771520
2012-08-01,276.88,310.38,273.14,295.21,223.35,133130232
2012-07-01,312.88,314.85,262.66,278.37,210.61,250890144
2012-06-01,301.88,318.04,293.13,313.65,237.31,143331008
2012-05-01,307.76,319.0,286.51,303.67,227.6,189043016
2012-04-01,358.0,361.09,274.79,307.76,230.67,367429928
2012-03-01,356.44,364.38,345.98,358.29,268.54,160554256
2012-02-01,342.46,374.25,336.96,360.43,270.15,163916920
2012-01-01,344.9,361.86,319.03,343.25,257.27,244137104
2011-12-01,334.25,350.5,328.83,345.96,259.3,187372144
2011-11-01,355.0,359.26,320.13,325.86,244.23,169126392
2011-10-01,311.25,371.42,301.7,359.69,268.11,264488528
2011-09-01,292.87,321.24,272.58,316.63,236.01,247455648
2011-08-01,347.51,352.98,270.19,292.87,218.3,279192496
2011-07-01,366.88,377.99,338.42,346.99,258.64,180884368
2011-06-01,349.25,365.38,331.56,363.81,271.18,162070312
2011-05-01,364.88,369.64,344.58,348.21,257.69,204913784
2011-04-01,404.39,414.64,360.0,363.28,268.84,318369640
2011-03-01,378.75,408.13,363.04,405.16,299.84,184176288
2011-02-01,390.79,397.23,370.75,374.64,277.25,161744640
2011-01-01,430.5,437.38,385.77,389.71,288.4,182734624
2010-12-01,381.23,431.75,379.0,430.34,318.47,139217520
2010-11-01,372.88,388.88,367.53,381.38,282.23,138510680
2010-10-01,381.38,404.75,368.0,371.46,273.99,197971864
2010-09-01,339.23,384.88,338.53,381.31,281.25,180386528
2010-08-01,350.0,363.35,333.29,339.23,250.21,119437736
2010-07-01,348.88,363.75,339.5,348.55,257.09,161055960
2010-06-01,331.88,354.21,327.06,348.88,257.33,144754264
2010-05-01,338.5,341.88,313.76,332.25,243.61,163183040
2010-04-01,327.52,353.09,327.17,342.27,250.96,209649936
2010-03-01,325.24,358.75,325.24,326.99,239.76,172847552
2010-02-01,305.88,328.75,291.13,325.24,238.48,147031280
2010-01-01,325.14,337.86,300.6,309.44,226.89,189524376
2009-12-01,303.38,326.75,294.38,325.14,238.4,161725064
2009-11-01,275.77,307.13,266.26,297.42,218.07,150920800
2009-10-01,291.25,294.08,267.77,275.77,201.31,244473176
2009-09-01,267.49,302.63,265.0,288.3,210.45,227427920
2009-08-01,258.0,275.5,241.88,266.39,194.46,199950080
2009-07-01,221.32,259.88,208.13,258.04,188.37,311705712
2009-06-01,201.92,258.75,200.13,222.06,160.77,280942656
2009-05-01,188.66,238.86,185.63,200.64,145.26,298808304
2009-04-01,166.39,189.71,162.52,188.66,136.58,282823280
2009-03-01,152.25,174.64,143.94,165.49,119.81,250423040
2009-02-01,161.5,165.63,139.42,153.91,111.42,231858112
2009-01-01,139.5,164.88,138.97,163.33,118.25,354866096
2008-12-01,156.25,162.34,133.13,139.43,100.94,287132912
2008-11-01,175.14,180.88,136.25,155.48,112.56,272377832
2008-10-01,178.13,183.38,130.0,173.62,124.75,367986336
2008-09-01,218.75,225.63,165.0,174.76,125.57,343200792
2008-08-01,195.0,218.75,193.13,218.64,157.1,234956776
2008-07-01,218.0,235.63,184.39,197.93,142.22,373938448
2008-06-01,247.5,255.81,211.88,217.1,156.0,283976592
2008-05-01,219.14,247.25,211.92,245.35,173.78,330548872
2008-04-01,180.64,226.25,176.27,219.14,155.22,364046704
2008-03-01,192.63,193.36,162.5,179.99,127.49,229631776
2008-02-01,188.25,210.93,184.03,193.52,137.07,185909224
2008-01-01,220.82,224.63,156.88,187.38,132.72,296306056
2007-12-01,200.31,229.85,191.71,221.24,156.7,197150224
2007-11-01,233.96,241.25,189.88,200.31,141.88,323717168
2007-10-01,236.88,267.74,223.13,229.68,162.17,320203080
2007-09-01,233.13,243.75,218.56,236.59,167.05,231500776
2007-08-01,248.5,250.63,217.89,231.82,163.68,260921496
2007-07-01,243.0,256.25,230.84,246.98,174.38,317586056
2007-06-01,241.63,254.75,214.38,241.13,169.68,224155992
2007-05-01,256.36,261.66,237.63,240.44,169.19,265208520
2007-04-01,250.0,269.5,238.75,256.36,180.4,254290160
2007-03-01,260.0,273.12,244.89,252.33,177.56,262974928
2007-02-01,281.25,301.88,256.25,259.69,182.75,168977872
2007-01-01,280.23,290.63,261.89,280.91,197.68,216619064
2006-12-01,273.63,285.0,265.66,280.23,197.19,196428528
2006-11-01,262.0,283.13,256.94,272.46,191.73,217118416
2006-10-01,231.21,268.23,224.38,261.94,183.88,236378760
2006-09-01,226.25,234.75,215.01,231.21,162.31,146872576
2006-08-01,206.25,227.38,201.25,225.8,158.51,180840224
2006-07-01,192.81,224.88,191.4,206.94,145.27,297817536
2006-06-01,184.31,195.63,153.13,192.43,135.09,358703792
2006-05-01,196.23,206.25,173.21,181.87,125.95,298851584
2006-04-01,187.5,398.67,186.38,397.17,275.06,413907312
2006-03-01,176.19,192.13,173.31,186.34,129.05,347027264
2006-02-01,180.38,182.81,171.63,176.81,122.45,289276608
2006-01-01,187.94,192.49,168.76,180.02,124.67,349349376
2005-12-01,168.13,189.69,166.63,187.3,129.72,308280640
2005-11-01,159.38,172.94,156.07,167.78,116.2,255571680
2005-10-01,157.81,170.63,150.0,157.62,108.89,375626768
2005-09-01,150.13,160.06,146.57,157.21,108.6,244220704
2005-08-01,137.63,148.94,137.63,148.51,102.59,263102768
2005-07-01,146.56,150.0,132.82,141.78,97.94,337789952
2005-06-01,140.94,282.5,136.88,147.39,101.53,320216752
2005-05-01,118.56,141.52,118.56,140.65,96.89,376732224
2005-04-01,141.24,151.43,117.28,117.93,81.23,372810304
2005-03-01,140.0,144.69,133.88,141.07,97.18,259221184
2005-02-01,129.38,140.5,126.25,140.01,96.44,284885168
2005-01-01,132.44,149.88,117.2,129.29,89.06,444135888
2004-12-01,134.38,134.69,124.38,130.73,90.05,326288960
2004-11-01,119.25,135.55,118.44,134.32,92.53,363127952
2004-10-01,108.44,213.75,105.0,119.15,81.84,489279432
2004-09-01,98.44,106.99,98.13,105.97,72.79,418494128
2004-08-01,96.88,99.37,92.0,98.47,67.64,426566512
2004-07-01,87.19,97.81,80.31,97.09,66.69,541310720
2004-06-01,81.27,88.44,77.85,86.31,59.29,578348672
2004-05-01,79.24,85.75,64.45,81.26,54.78,547096320
2004-04-01,77.36,169.01,77.36,80.41,54.2,680943392
2004-03-01,79.66,91.02,74.0,77.16,52.01,715892800
2004-02-01,81.45,89.22,75.56,79.1,53.32,683142144
2004-01-01,87.47,95.31,78.42,81.45,54.9,616608896
2003-12-01,77.5,93.52,73.44,86.95,58.61,561800832
2003-11-01,74.3,80.43,69.38,76.97,51.88,599855104
2003-10-01,70.3,81.25,57.97,74.04,49.76,851808576
2003-09-01,62.5,71.52,59.38,70.75,47.55,1223067840
2003-08-01,57.03,62.19,47.16,61.34,41.22,869363328
2003-07-01,51.19,57.72,44.78,56.28,37.82,1287298432
2003-06-01,42.97,52.33,42.19,51.16,34.38,1053177792
2003-05-01,43.54,47.97,40.17,41.78,27.92,1314485184
2003-04-01,62.73,68.75,35.94,43.54,29.1,1627504960
2003-03-01,67.28,139.65,56.02,63.33,42.32,883475104
2003-02-01,65.94,71.01,63.6,66.96,44.75,805828608
2003-01-01,74.69,76.12,65.31,67.19,44.9,1193339904
2002-12-01,71.63,75.66,68.6,74.58,49.84,1160416960
2002-11-01,59.38,73.01,59.38,71.22,47.6,1131084608
2002-10-01,52.94,61.05,52.34,59.33,39.52,1060345280
2002-09-01,56.96,57.93,52.03,53.23,35.45,804516928
2002-08-01,47.81,56.79,45.89,56.32,37.51,813426752
2002-07-01,51.56,54.38,46.48,47.4,31.57,766989504
2002-06-01,53.42,55.47,47.69,51.26,34.14,677764800
2002-05-01,57.56,61.72,52.38,52.95,35.15,492742592
2002-04-01,59.13,62.48,54.62,57.56,38.21,674009536
2002-03-01,54.84,67.11,54.61,58.57,38.88,818161408
2002-02-01,61.74,62.17,54.52,55.21,36.65,662799168
2002-01-01,64.02,76.16,56.77,60.59,40.22,1133263616
2001-12-01,58.32,73.05,58.32,63.81,42.36,812638784
2001-11-01,45.55,65.46,43.78,60.83,40.38,839639488
2001-10-01,37.48,48.44,33.71,45.57,30.18,971175744
2001-09-01,55.63,55.82,33.05,36.99,24.49,968941696
2001-08-01,58.98,61.78,53.13,55.29,36.61,550113728
2001-07-01,59.53,62.34,50.0,58.64,38.83,871447744
2001-06-01,59.14,62.42,49.04,58.57,38.79,811776064
2001-05-01,57.95,67.62,56.35,58.94,39.03,680465536
2001-04-01,63.47,66.06,42.2,57.95,38.3,675857280
2001-03-01,97.66,97.66,58.83,63.81,42.17,798417984
2001-02-01,105.64,107.97,86.5,97.53,64.45,753475072
2001-01-01,89.14,108.43,85.68,106.14,70.14,1269022208
2000-12-01,111.72,125.65,84.72,88.97,58.8,1070010240
2000-11-01,114.84,125.56,111.88,112.25,74.18,743764544
2000-10-01,115.02,120.7,95.63,111.45,73.63,1036177088
2000-09-01,130.11,139.83,108.98,115.02,75.99,861663040
2000-08-01,106.88,134.42,97.74,130.11,85.95,888060096
2000-07-01,131.09,137.69,99.25,105.64,69.79,612711168
2000-06-01,108.59,139.84,106.77,129.85,85.78,551010496
2000-05-01,126.9,136.56,86.33,109.36,72.24,678776128
2000-04-01,132.83,165.64,104.23,126.9,83.8,269395904
2000-03-01,142.17,217.69,132.98,140.16,92.56,183396416
2000-02-01,113.28,168.75,111.72,137.18,90.59,243054656
2000-01-01,122.07,131.84,87.52,112.84,74.52,330849280
1999-12-01,71.48,113.49,70.55,113.03,74.64,262868736
1999-11-01,55.39,76.35,51.56,72.08,47.6,325625728
1999-10-01,56.56,69.34,53.48,54.51,35.98,302459392
1999-09-01,44.06,62.19,42.24,55.73,36.79,208289280
1999-08-01,37.97,44.84,37.34,43.36,28.63,214182144
1999-07-01,28.52,43.01,28.45,37.84,24.98,333147904
1999-06-01,25.23,29.45,23.55,28.45,18.78,219694208
1999-05-01,20.84,25.93,20.15,25.43,16.76,266410624
1999-04-01,22.66,22.73,19.15,20.7,13.65,267738752
1999-03-01,24.02,27.01,20.31,22.89,15.09,389922048
1999-02-01,18.36,21.47,17.27,20.94,13.8,195619840
1999-01-01,11.64,19.52,11.51,18.42,12.14,197801216
1998-12-01,9.08,12.15,9.06,11.59,7.64,390398464
1998-11-01,9.61,9.68,8.88,9.1,5.99,188800000
1998-10-01,9.87,9.87,8.36,9.53,6.27,492441600
1998-09-01,9.85,10.08,8.95,9.87,6.5,363238400
1998-08-01,10.08,10.89,9.63,10.02,6.6,483686400
1998-07-01,8.67,10.48,8.39,10.18,6.7,635136000
1998-06-01,9.64,10.16,7.3,8.63,5.68,549657600
1998-05-01,8.48,9.96,8.4,9.54,6.28,808576000
1998-04-01,7.29,9.53,7.2,8.48,5.57,488192000
1998-03-01,5.58,7.34,5.31,7.23,4.75,208204800
1998-02-01,4.34,5.55,4.1,5.46,3.59,82688000
1998-01-01,4.86,5.14,4.2,4.31,2.83,153292800
1997-12-01,5.45,5.62,4.3,4.85,3.18,325708800
1997-11-01,5.25,5.86,4.98,5.41,3.55,177382400
1997-10-01,6.19,6.29,4.88,5.26,3.45,213785600
1997-09-01,5.01,6.4,4.92,6.33,4.15,157747200
1997-08-01,4.24,5.25,4.05,4.97,3.26,103244800
1997-07-01,3.66,4.94,3.66,4.02,2.64,153395200
1997-06-01,2.87,3.81,2.87,3.63,2.38,136960000
1997-05-01,2.84,2.91,2.69,2.89,1.89,159078400
1997-04-01,1.86,2.93,1.86,2.84,1.85,119091200
1997-03-01,2.26,2.34,1.88,2.0,1.31,62566400
1997-02-01,1.62,2.01,1.62,2.0,1.31,24217600
1997-01-01,1.54,1.73,1.54,1.63,1.07,25600000
1996-12-01,1.35,1.52,1.29,1.5,0.98,14336000
1996-11-01,1.33,1.38,1.31,1.36,0.89,6809600
1996-10-01,1.28,1.41,1.21,1.33,0.87,24166400
1996-09-01,1.33,1.37,1.28,1.29,0.84,20889600
1996-08-01,1.31,1.38,1.23,1.31,0.85,12851200
1996-07-01,1.39,1.4,1.24,1.29,0.84,15616000
1996-06-01,1.26,1.41,1.29,1.38,0.9,30259200
1996-05-01,1.23,1.38,1.23,1.26,0.82,32512000
1996-04-01,0.98,1.32,0.97,1.23,0.8,37273600
1996-03-01,0.92,0.98,0.9,0.98,0.64,8192000
1996-02-01,0.78,1.02,0.78,0.92,0.59,20275200
1996-01-01,0.79,0.8,0.71,0.78,0.51,9164800
